roi_ids_rem,degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg
104,5.5431326472357325,113.38888888888889,29.18436582883199,30.112223528111983,29.86759182311729,0.046176102096586576,0.0037326726259878217
105,5.622744928650359,115.77777777777777,32.104693465762665,29.71663258414716,29.672257222518525,0.041145063018328806,0.0031335017489312086
106,9.640802714228887,129.11111111111111,25.138202057944405,29.03892115044486,29.451293311814695,0.07164708834054918,0.00328374429618114
107,5.676655631800127,107.77777777777777,29.88742102517022,29.80344241802133,29.867546422617618,0.04984645615245693,0.004399317700911172
108,10.853367560147976,148.5,28.041049586402046,29.78881348849167,29.702799057106112,0.06698667692146922,0.0024317700911171566
110,2.725483820249886,79.6470588235294,29.15848837958442,29.792919370348883,29.676255179299112,0.03007316046107035,0.00385322652617639
111,4.927700064224364,103.55555555555556,34.712402175454535,30.55071894230275,30.07382088999479,0.04178323588322383,0.004177102675936722
112,8.147519006366684,132.38888888888889,27.388292842441135,29.658567527495038,29.553654623753616,0.05502077798867881,0.0028941932604971857
114,11.030504394854844,138.83333333333334,29.14904334810045,29.23444171082081,29.5065192114323,0.07411591950578579,0.0024029811000273495
116,4.375642280501637,97.88888888888889,34.291095362769234,30.705596001704993,29.989965754607624,0.039962266494862224,0.00464222481323142
117,6.850286882058871,125.05555555555556,29.707677417331272,29.692359394230152,29.56000355978497,0.04775998557775723,0.0035266514085013894
118,4.073079918288676,104.44444444444444,33.64554516474406,30.33415488502932,30.02617070329777,0.037474504572313216,0.004454196715176117
121,11.30845313708418,141.0,27.26283237669203,29.876970378459614,29.807159814571353,0.07799724875754883,0.002560420895049732
122,8.352706384356374,140.94444444444446,32.56643014483981,30.02016950627585,29.85193405035231,0.05549744833914297,0.0032180694102575177
123,3.3018540517079873,85.5,33.4982499395098,29.4386966952318,29.544229833724298,0.031970968948419214,0.003965683522620949
