ROI,CN_Ab.neg,CN_Ab.pos,MCI_Ab.neg,MCI_Ab.pos,Dementia_Ab.neg,Dementia_Ab.pos
rPeEc,0.8479122093023256,0.9457170542635659,0.8137088607594937,0.9560715789473684,0.8120999999999999,1.00635
rSTGa,0.796018023255814,0.9772937984496124,0.7697291139240507,1.0684463157894735,0.7791857142857143,1.1645020000000001
rPBelt,0.9682424418604649,1.1759837209302326,0.9330556962025313,1.2877505263157893,0.9493142857142857,1.3762879999999997
rA5,0.9282255813953488,1.170343410852713,0.9184620253164556,1.2738863157894735,0.9486,1.372862
rPHA1,0.8659383720930232,0.9941868217054264,0.8495012658227847,1.02322,0.8349428571428571,1.0553199999999998
rPHA3,1.127906976744186,1.2964906976744186,1.1018075949367088,1.3636778947368424,1.0814000000000001,1.409864
rSTSda,1.0235633720930233,1.2649782945736434,0.9948139240506328,1.3571073684210526,0.9995142857142857,1.4361560000000002
rSTSdp,1.2727087209302326,1.541148837209302,1.2558329113924052,1.629401052631579,1.2760714285714287,1.6943439999999999
rSTSvp,1.0076122093023254,1.3128596899224807,0.9975721518987344,1.4309863157894738,1.0018714285714285,1.527174
rTGd,0.8741563953488373,1.0117124031007754,0.8384367088607596,1.088585263157895,0.8245142857142856,1.158118
rTE1a,0.8752337209302324,1.0862682170542637,0.8634987341772151,1.1806221052631576,0.8682142857142858,1.2899420000000001
rTE1p,0.9168552325581395,1.1788643410852713,0.9087734177215191,1.2996231578947368,0.9199142857142857,1.410426
rTE2a,0.9789470930232559,1.1972116279069769,0.9722075949367088,1.3139347368421053,0.9533857142857143,1.4021219999999999
rTF,0.9795343023255814,1.1553658914728684,0.95466835443038,1.2327715789473686,0.9441571428571428,1.295206
rTE2p,1.0965441860465115,1.3248108527131783,1.1068936708860762,1.442475789473684,1.1539857142857142,1.56203
rPHT,0.9378534883720931,1.2064449612403099,0.9297367088607598,1.3421873684210528,0.9247285714285713,1.447032
